iter	Passed	Remaining
0	15	15818
1	31	15682
2	45	15226
3	60	15054
4	74	14874
5	88	14609
6	100	14301
7	115	14296
8	130	14413
9	143	14245
10	165	14861
11	177	14649
12	191	14556
13	205	14479
14	218	14346
15	235	14507
16	249	14436
17	265	14464
18	285	14761
19	302	14834
20	317	14789
21	331	14716
22	348	14800
23	361	14710
24	377	14736
25	392	14698
26	406	14637
27	420	14613
28	436	14602
29	455	14726
30	469	14681
31	488	14765
32	517	15164
33	531	15086
34	543	14994
35	557	14935
36	570	14860
37	584	14786
38	598	14741
39	611	14669
40	624	14606
41	637	14530
42	650	14473
43	666	14488
44	680	14440
45	694	14396
46	706	14329
47	719	14277
48	736	14297
49	749	14246
50	764	14225
51	778	14187
52	791	14138
53	804	14090
54	817	14043
55	833	14055
56	849	14050
57	864	14041
58	877	13996
59	891	13963
60	905	13932
61	917	13887
62	932	13866
63	945	13823
64	958	13791
65	972	13768
66	986	13739
67	1008	13823
68	1021	13784
69	1037	13783
70	1050	13746
71	1063	13710
72	1077	13683
73	1090	13647
74	1104	13628
75	1118	13592
76	1131	13559
77	1143	13519
78	1156	13488
79	1171	13471
80	1184	13436
81	1199	13430
82	1214	13415
83	1228	13392
84	1241	13366
85	1254	13336
86	1271	13348
87	1284	13317
88	1299	13297
89	1312	13266
90	1324	13232
91	1337	13203
92	1350	13173
93	1364	13146
94	1376	13117
95	1391	13104
96	1404	13076
97	1417	13049
98	1432	13035
99	1445	13007
100	1458	12984
101	1472	12960
102	1485	12939
103	1499	12916
104	1512	12894
105	1527	12883
106	1541	12863
107	1554	12837
108	1568	12819
109	1581	12795
110	1598	12798
111	1611	12779
112	1625	12762
113	1638	12732
114	1651	12710
115	1665	12688
116	1677	12662
117	1691	12643
118	1704	12622
119	1718	12605
120	1733	12595
121	1746	12572
122	1762	12565
123	1775	12542
124	1790	12535
125	1803	12513
126	1817	12491
127	1830	12467
128	1843	12449
129	1857	12433
130	1870	12410
131	1883	12388
132	1896	12359
133	1910	12344
134	1923	12321
135	1936	12303
136	1949	12282
137	1963	12266
138	1976	12245
139	1989	12221
140	2002	12198
141	2017	12188
142	2030	12170
143	2044	12153
144	2062	12161
145	2075	12139
146	2091	12134
147	2104	12117
148	2117	12096
149	2130	12073
150	2143	12052
151	2157	12036
152	2170	12014
153	2182	11991
154	2195	11969
155	2208	11949
156	2221	11930
157	2234	11909
158	2247	11888
159	2260	11868
160	2274	11852
161	2289	11844
162	2303	11827
163	2318	11821
164	2331	11800
165	2345	11783
166	2358	11764
167	2371	11743
168	2386	11735
169	2399	11716
170	2413	11701
171	2426	11683
172	2439	11662
173	2455	11656
174	2468	11636
175	2482	11621
176	2495	11605
177	2509	11590
178	2522	11571
179	2535	11552
180	2551	11547
181	2565	11529
182	2580	11518
183	2594	11504
184	2606	11484
185	2620	11468
186	2634	11453
187	2647	11435
188	2661	11419
189	2675	11404
190	2688	11388
191	2702	11373
192	2719	11372
193	2732	11354
194	2748	11347
195	2761	11329
196	2774	11311
197	2788	11293
198	2802	11282
199	2817	11268
200	2830	11251
201	2843	11232
202	2856	11214
203	2868	11194
204	2883	11182
205	2896	11163
206	2910	11148
207	2922	11129
208	2935	11111
209	2949	11094
210	2962	11077
211	2978	11072
212	2993	11061
213	3007	11045
214	3020	11028
215	3034	11014
216	3048	11000
217	3061	10982
218	3076	10970
219	3089	10953
220	3103	10937
221	3117	10924
222	3129	10902
223	3148	10908
224	3164	10898
225	3178	10884
226	3192	10871
227	3205	10854
228	3219	10837
229	3232	10821
230	3247	10809
231	3260	10793
232	3274	10778
233	3287	10760
234	3301	10745
235	3314	10730
236	3328	10714
237	3346	10715
238	3360	10698
239	3373	10681
240	3386	10664
241	3399	10649
242	3416	10642
243	3429	10625
244	3442	10609
245	3456	10593
246	3470	10579
247	3483	10563
248	3497	10549
249	3514	10544
250	3527	10527
251	3542	10515
252	3557	10503
253	3572	10493
254	3587	10480
255	3599	10462
256	3613	10447
257	3627	10431
258	3646	10431
259	3659	10415
260	3675	10406
261	3690	10396
262	3707	10388
263	3720	10371
264	3734	10357
265	3750	10348
266	3763	10331
267	3776	10315
268	3794	10311
269	3807	10294
270	3822	10282
271	3836	10268
272	3850	10253
273	3867	10246
274	3880	10230
275	3893	10214
276	3907	10199
277	3927	10200
278	3942	10187
279	3959	10181
280	3973	10168
281	3987	10153
282	4001	10139
283	4014	10121
284	4038	10132
285	4052	10117
286	4066	10103
287	4080	10087
288	4093	10071
289	4106	10054
290	4119	10037
291	4137	10032
292	4151	10016
293	4165	10003
294	4179	9989
295	4193	9973
296	4206	9957
297	4220	9943
298	4238	9937
299	4251	9920
300	4272	9921
301	4285	9905
302	4299	9890
303	4313	9874
304	4326	9858
305	4344	9853
306	4358	9839
307	4377	9836
308	4392	9822
309	4407	9810
310	4421	9795
311	4434	9779
312	4454	9777
313	4469	9763
314	4485	9753
315	4498	9736
316	4511	9720
317	4524	9703
318	4538	9688
319	4559	9689
320	4575	9677
321	4599	9685
322	4612	9668
323	4627	9654
324	4641	9640
325	4656	9626
326	4680	9632
327	4692	9614
328	4707	9600
329	4720	9583
330	4741	9583
331	4756	9569
332	4769	9552
333	4786	9544
334	4799	9526
335	4815	9516
336	4829	9501
337	4844	9488
338	4857	9471
339	4870	9454
340	4891	9452
341	4904	9436
342	4918	9421
343	4933	9408
344	4946	9391
345	4976	9405
346	4989	9388
347	5006	9379
348	5019	9362
349	5032	9346
350	5046	9331
351	5060	9315
352	5081	9314
353	5095	9299
354	5113	9290
355	5126	9274
356	5141	9260
357	5154	9243
358	5167	9227
359	5191	9230
360	5204	9212
361	5231	9219
362	5244	9202
363	5257	9186
364	5276	9180
365	5290	9164
366	5308	9156
367	5322	9140
368	5336	9125
369	5349	9109
370	5363	9092
371	5385	9090
372	5398	9075
373	5415	9064
374	5436	9060
375	5449	9044
376	5475	9049
377	5491	9036
378	5505	9021
379	5519	9005
380	5533	8990
381	5546	8973
382	5560	8957
383	5577	8947
384	5596	8939
385	5610	8924
386	5633	8923
387	5646	8906
388	5667	8902
389	5680	8885
390	5694	8869
391	5707	8852
392	5720	8835
393	5737	8824
394	5751	8808
395	5768	8798
396	5781	8781
397	5796	8767
398	5809	8750
399	5823	8735
400	5837	8720
401	5854	8708
402	5872	8699
403	5885	8682
404	5903	8673
405	5916	8656
406	5936	8649
407	5950	8634
408	5963	8617
409	5976	8600
410	5989	8583
411	6010	8578
412	6024	8563
413	6041	8552
414	6055	8536
415	6071	8522
416	6095	8522
417	6108	8505
418	6125	8494
419	6139	8477
420	6154	8463
421	6167	8447
422	6182	8432
423	6195	8416
424	6208	8400
425	6233	8399
426	6249	8386
427	6263	8371
428	6277	8355
429	6292	8341
430	6306	8326
431	6319	8309
432	6334	8295
433	6347	8278
434	6362	8263
435	6376	8248
436	6391	8234
437	6404	8217
438	6418	8201
439	6431	8184
440	6444	8168
441	6459	8155
442	6472	8138
443	6487	8123
444	6500	8107
445	6514	8092
446	6529	8077
447	6545	8065
448	6570	8062
449	6583	8046
450	6598	8032
451	6611	8016
452	6625	8000
453	6639	7984
454	6652	7968
455	6668	7955
456	6681	7938
457	6695	7923
458	6708	7907
459	6724	7893
460	6742	7883
461	6755	7866
462	6771	7853
463	6784	7837
464	6800	7824
465	6813	7808
466	6826	7791
467	6844	7780
468	6857	7763
469	6871	7748
470	6884	7732
471	6899	7718
472	6912	7702
473	6925	7685
474	6939	7669
475	6952	7653
476	6966	7637
477	6979	7621
478	6991	7604
479	7008	7592
480	7021	7575
481	7033	7559
482	7046	7542
483	7061	7528
484	7076	7514
485	7090	7499
486	7107	7487
487	7121	7471
488	7134	7455
489	7147	7438
490	7160	7422
491	7172	7406
492	7185	7389
493	7199	7374
494	7211	7357
495	7225	7341
496	7238	7325
497	7252	7310
498	7267	7297
499	7282	7282
500	7295	7266
501	7308	7250
502	7321	7234
503	7334	7217
504	7347	7201
505	7360	7186
506	7374	7171
507	7388	7155
508	7401	7139
509	7415	7124
510	7430	7110
511	7444	7095
512	7459	7081
513	7472	7065
514	7486	7050
515	7500	7035
516	7513	7019
517	7530	7006
518	7543	6991
519	7556	6975
520	7570	6960
521	7584	6944
522	7599	6931
523	7613	6915
524	7628	6901
525	7640	6885
526	7654	6869
527	7667	6853
528	7679	6837
529	7692	6821
530	7705	6805
531	7718	6789
532	7731	6774
533	7744	6758
534	7757	6742
535	7771	6727
536	7789	6715
537	7802	6700
538	7815	6684
539	7829	6669
540	7842	6654
541	7855	6637
542	7868	6621
543	7881	6606
544	7894	6591
545	7908	6575
546	7920	6559
547	7933	6543
548	7949	6530
549	7962	6514
550	7974	6498
551	7988	6483
552	8000	6467
553	8014	6452
554	8027	6436
555	8040	6420
556	8053	6404
557	8066	6389
558	8082	6376
559	8094	6360
560	8107	6344
561	8123	6331
562	8136	6315
563	8149	6299
564	8161	6283
565	8175	6268
566	8189	6254
567	8203	6239
568	8216	6223
569	8229	6208
570	8249	6198
571	8262	6182
572	8277	6168
573	8290	6153
574	8303	6137
575	8322	6126
576	8335	6111
577	8349	6095
578	8362	6080
579	8375	6065
580	8388	6049
581	8401	6034
582	8415	6019
583	8429	6004
584	8443	5989
585	8456	5974
586	8471	5960
587	8483	5944
588	8496	5928
589	8510	5913
590	8523	5898
591	8536	5883
592	8549	5867
593	8561	5852
594	8575	5836
595	8589	5822
596	8602	5807
597	8615	5791
598	8628	5776
599	8641	5761
600	8655	5746
601	8669	5731
602	8683	5717
603	8696	5701
604	8709	5686
605	8726	5673
606	8738	5657
607	8754	5644
608	8766	5628
609	8777	5612
610	8792	5597
611	8804	5582
612	8821	5569
613	8834	5554
614	8848	5539
615	8865	5526
616	8878	5511
617	8891	5496
618	8904	5480
619	8917	5465
620	8930	5450
621	8943	5435
622	8958	5420
623	8971	5406
624	8986	5391
625	8998	5376
626	9012	5361
627	9024	5345
628	9037	5330
629	9050	5315
630	9063	5300
631	9075	5284
632	9088	5269
633	9100	5253
634	9113	5238
635	9126	5223
636	9140	5208
637	9153	5193
638	9168	5179
639	9183	5165
640	9195	5149
641	9208	5134
642	9221	5119
643	9233	5104
644	9247	5089
645	9260	5074
646	9273	5059
647	9287	5045
648	9301	5030
649	9316	5016
650	9330	5002
651	9346	4988
652	9360	4973
653	9373	4958
654	9386	4944
655	9401	4930
656	9414	4915
657	9428	4900
658	9441	4885
659	9456	4871
660	9470	4856
661	9483	4842
662	9503	4830
663	9518	4816
664	9531	4801
665	9544	4786
666	9558	4772
667	9571	4757
668	9584	4742
669	9601	4729
670	9615	4714
671	9630	4700
672	9644	4686
673	9658	4671
674	9671	4656
675	9684	4641
676	9699	4627
677	9712	4612
678	9725	4597
679	9737	4582
680	9750	4567
681	9763	4552
682	9775	4537
683	9788	4522
684	9801	4507
685	9819	4494
686	9840	4483
687	9853	4468
688	9867	4454
689	9881	4439
690	9894	4424
691	9906	4409
692	9919	4394
693	9932	4379
694	9944	4364
695	9957	4349
696	9970	4334
697	9983	4319
698	9997	4305
699	10009	4289
700	10021	4274
701	10037	4260
702	10050	4246
703	10066	4232
704	10079	4217
705	10092	4202
706	10105	4187
707	10118	4173
708	10135	4159
709	10148	4145
710	10162	4130
711	10176	4116
712	10188	4101
713	10201	4086
714	10216	4072
715	10230	4057
716	10242	4042
717	10255	4027
718	10268	4013
719	10281	3998
720	10294	3983
721	10306	3968
722	10318	3953
723	10330	3938
724	10343	3923
725	10356	3908
726	10369	3893
727	10382	3879
728	10398	3865
729	10412	3851
730	10434	3839
731	10447	3824
732	10460	3810
733	10472	3795
734	10485	3780
735	10501	3766
736	10526	3756
737	10542	3742
738	10558	3728
739	10573	3715
740	10588	3701
741	10603	3686
742	10616	3672
743	10632	3658
744	10650	3645
745	10663	3630
746	10677	3616
747	10690	3601
748	10704	3587
749	10722	3574
750	10736	3559
751	10763	3549
752	10778	3535
753	10792	3521
754	10805	3506
755	10819	3491
756	10832	3477
757	10846	3462
758	10863	3449
759	10879	3435
760	10895	3421
761	10908	3407
762	10925	3393
763	10938	3379
764	10952	3364
765	10971	3351
766	10985	3337
767	11000	3323
768	11028	3312
769	11043	3298
770	11056	3283
771	11072	3270
772	11085	3255
773	11099	3240
774	11120	3228
775	11134	3214
776	11149	3199
777	11163	3185
778	11177	3170
779	11193	3157
780	11206	3142
781	11228	3130
782	11241	3115
783	11257	3101
784	11272	3087
785	11287	3073
786	11300	3058
787	11312	3043
788	11333	3030
789	11346	3016
790	11361	3001
791	11374	2987
792	11387	2972
793	11401	2957
794	11413	2943
795	11428	2929
796	11443	2914
797	11458	2900
798	11472	2886
799	11487	2871
800	11500	2857
801	11514	2842
802	11533	2829
803	11556	2817
804	11572	2803
805	11585	2788
806	11599	2774
807	11621	2761
808	11634	2746
809	11649	2732
810	11667	2719
811	11683	2705
812	11696	2690
813	11709	2675
814	11726	2661
815	11742	2647
816	11757	2633
817	11771	2619
818	11784	2604
819	11799	2590
820	11812	2575
821	11836	2563
822	11849	2548
823	11865	2534
824	11878	2519
825	11892	2505
826	11913	2492
827	11926	2477
828	11944	2463
829	11958	2449
830	11977	2435
831	11990	2421
832	12006	2407
833	12020	2392
834	12033	2377
835	12053	2364
836	12066	2349
837	12080	2335
838	12093	2320
839	12110	2306
840	12123	2292
841	12138	2277
842	12155	2263
843	12168	2249
844	12182	2234
845	12200	2220
846	12217	2206
847	12229	2192
848	12244	2177
849	12257	2163
850	12271	2148
851	12287	2134
852	12300	2119
853	12317	2105
854	12335	2092
855	12348	2077
856	12371	2064
857	12385	2049
858	12403	2036
859	12416	2021
860	12432	2007
861	12445	1992
862	12458	1977
863	12476	1963
864	12493	1949
865	12511	1935
866	12524	1921
867	12539	1906
868	12554	1892
869	12568	1878
870	12581	1863
871	12595	1848
872	12614	1835
873	12627	1820
874	12643	1806
875	12658	1791
876	12677	1778
877	12691	1763
878	12706	1749
879	12719	1734
880	12732	1719
881	12753	1706
882	12766	1691
883	12781	1677
884	12803	1663
885	12817	1649
886	12836	1635
887	12850	1620
888	12868	1606
889	12882	1592
890	12896	1577
891	12909	1563
892	12923	1548
893	12943	1534
894	12963	1520
895	12978	1506
896	12991	1491
897	13005	1477
898	13025	1463
899	13041	1449
900	13056	1434
901	13069	1419
902	13084	1405
903	13104	1391
904	13117	1376
905	13137	1363
906	13149	1348
907	13168	1334
908	13181	1319
909	13197	1305
910	13210	1290
911	13225	1276
912	13249	1262
913	13271	1248
914	13284	1234
915	13302	1219
916	13322	1205
917	13337	1191
918	13351	1176
919	13365	1162
920	13378	1147
921	13395	1133
922	13410	1118
923	13423	1104
924	13436	1089
925	13457	1075
926	13471	1060
927	13487	1046
928	13501	1031
929	13515	1017
930	13529	1002
931	13543	988
932	13561	973
933	13574	959
934	13590	944
935	13605	930
936	13620	915
937	13633	901
938	13646	886
939	13660	871
940	13673	857
941	13688	842
942	13708	828
943	13731	814
944	13745	800
945	13767	785
946	13782	771
947	13798	756
948	13811	742
949	13825	727
950	13839	713
951	13853	698
952	13875	684
953	13888	669
954	13905	655
955	13918	640
956	13933	626
957	13947	611
958	13960	596
959	13974	582
960	13987	567
961	14003	553
962	14016	538
963	14030	523
964	14043	509
965	14057	494
966	14078	480
967	14091	465
968	14104	451
969	14118	436
970	14132	422
971	14145	407
972	14158	392
973	14174	378
974	14187	363
975	14202	349
976	14216	334
977	14229	320
978	14243	305
979	14256	290
980	14271	276
981	14284	261
982	14298	247
983	14311	232
984	14325	218
985	14338	203
986	14354	189
987	14371	174
988	14384	159
989	14398	145
990	14413	130
991	14426	116
992	14439	101
993	14453	87
994	14465	72
995	14477	58
996	14490	43
997	14503	29
998	14516	14
999	14528	0
